stamp,id,item,value
2018-01-01T00:14:52Z,1000093,item_2,500
2018-01-01T00:17:41Z,1000256,item_2,500
2018-01-01T00:19:58Z,1000037,item_1,100
2018-01-01T00:23:59Z,1000262,item_3,1e3
2018-01-01T00:59:10Z,1000032,item_1,100
2018-01-01T01:08:38Z,1000295,item_1,100
2018-01-01T01:14:06Z,1000192,item_2,500
2018-01-01T01:21:05Z,1000178,item_1,100
2018-01-01T01:38:29Z,1000078,item_1,100
2018-01-01T01:40:23Z,1000294,item_2,500
2018-01-01T02:06:47Z,1000239,item_1,100
2018-01-01T02:16:18Z,1000240,item_1,100
2018-01-01T02:16:43Z,1000261,item_3,1e3
2018-01-01T02:32:45Z,1000222,item_2,500
2018-01-01T02:40:42Z,1000114,item_1,100
2018-01-01T02:54:26Z,1000286,item_1,100
2018-01-01T02:54:51Z,1000054,item_3,1e3
2018-01-01T02:57:57Z,1000070,item_1,100
2018-01-01T02:58:03Z,1000150,item_2,500
2018-01-01T02:59:12Z,1000037,item_4,2e3
2018-01-01T03:08:15Z,1000243,item_4,2e3
2018-01-01T03:29:13Z,1000183,item_1,100
2018-01-01T03:32:24Z,1000138,item_1,100
2018-01-01T03:42:50Z,1000295,item_1,100
2018-01-01T03:54:46Z,1000007,item_4,2e3
2018-01-01T04:01:25Z,1000068,item_2,500
2018-01-01T04:02:05Z,1000020,item_1,100
2018-01-01T04:03:57Z,1000091,item_1,100
2018-01-01T04:12:09Z,1000261,item_3,1e3
2018-01-01T04:23:31Z,1000209,item_1,100
2018-01-01T04:26:28Z,1000184,item_1,100
2018-01-01T05:04:09Z,1000071,item_2,500
2018-01-01T05:09:55Z,1000148,item_1,100
2018-01-01T05:12:22Z,1000229,item_2,500
2018-01-01T05:14:13Z,1000189,item_1,100
2018-01-01T05:16:01Z,1000202,item_1,100
2018-01-01T05:16:20Z,1000146,item_2,500
2018-01-01T05:18:14Z,1000244,item_1,100
2018-01-01T05:34:33Z,1000071,item_2,500
2018-01-01T05:36:14Z,1000049,item_2,500
2018-01-01T05:43:23Z,1000146,item_2,500
2018-01-01T05:58:12Z,1000052,item_1,100
2018-01-01T05:58:28Z,1000032,item_1,100
2018-01-01T06:00:38Z,1000028,item_1,100
2018-01-01T06:03:03Z,1000179,item_2,500
2018-01-01T06:23:04Z,1000249,item_1,100
2018-01-01T06:30:37Z,1000205,item_2,500
2018-01-01T06:41:44Z,1000116,item_1,100
2018-01-01T06:42:17Z,1000179,item_1,100
2018-01-01T06:52:07Z,1000229,item_1,100
2018-01-01T06:57:36Z,1000175,item_3,1e3
2018-01-01T07:00:04Z,1000192,item_2,500
2018-01-01T07:27:09Z,1000015,item_1,100
2018-01-01T07:27:45Z,1000168,item_1,100
2018-01-01T07:32:23Z,1000180,item_1,100
2018-01-01T07:33:30Z,1000147,item_2,500
2018-01-01T07:40:55Z,1000054,item_4,2e3
2018-01-01T07:43:32Z,1000026,item_1,100
2018-01-01T07:58:50Z,1000171,item_1,100
2018-01-01T08:17:53Z,1000203,item_1,100
2018-01-01T08:18:39Z,1000256,item_1,100
2018-01-01T08:19:51Z,1000240,item_1,100
2018-01-01T08:36:51Z,1000254,item_1,100
2018-01-01T08:44:52Z,1000263,item_1,100
2018-01-01T08:45:18Z,1000171,item_1,100
2018-01-01T08:46:57Z,1000050,item_2,500
2018-01-01T09:03:11Z,1000092,item_1,100
2018-01-01T09:10:14Z,1000158,item_2,500
2018-01-01T09:13:06Z,1000247,item_1,100
2018-01-01T09:13:28Z,1000180,item_1,100
2018-01-01T09:15:49Z,1000201,item_1,100
2018-01-01T09:16:13Z,1000206,item_2,500
2018-01-01T09:17:51Z,1000121,item_1,100
2018-01-01T09:27:18Z,1000252,item_1,100
